,name,coretype,corenum,instuctions_val,cycles_val,mis_pred,l1d_c,l1i_c,l2d_c,exec_time,filename
0,basicmath,A7,0,1886405293,980741556,42274807,131129,2032459,20253,2.121862070,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
1,basicmath,A7,"0,1",1885891132,1031547697,42252698,139786,2018431,19266,2.135730323,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
2,basicmath,A7,"0,1,2",1884482693,1023112045,42237510,136904,2016722,18260,2.159834202,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
3,basicmath,A7,"0,1,2,3",1887359229,959092855,42186342,161996,2011234,18252,2.055745450,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
4,basicmath,A15,4,1884218123,1589985491,17697508,240535,2005683,3951,0.864772782,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
5,basicmath,A15,"4,5",1884218429,1804530300,18091274,337308,2186431,4879,1.024727581,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
6,basicmath,A15,"4,5,6",1884218732,1716888619,18439299,180778,2038915,4181,0.950977871,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
7,basicmath,A15,"4,5,6,7",1884219081,1758179772,18853702,377772,2038371,4357,0.980071206,/Users/oluwafemiajeigbe/Downloads/new_file/runba1.txt
8,basicmath,A7,0,1885002491,947907931,42234382,188880,2008172,17885,1.986715749,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
9,basicmath,A7,"0,1",1884711293,1014785584,42214948,124094,2013639,18367,2.116540881,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
10,basicmath,A7,"0,1,2",1884194890,937458933,42269950,155640,2010519,19884,1.994826253,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
11,basicmath,A7,"0,1,2,3",1887006318,968741119,42221131,212092,2023047,22171,2.034355589,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
12,basicmath,A15,4,1884218123,1745117897,18604903,223483,2215675,4491,0.979160127,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
13,basicmath,A15,"4,5",1884218429,1827112553,18618582,310247,2075002,5059,1.047852548,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
14,basicmath,A15,"4,5,6",1884218738,1733372078,17643312,385670,2021018,4935,0.984056253,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
15,basicmath,A15,"4,5,6,7",1884219081,1668919830,18202106,319675,2046858,4208,0.928099294,/Users/oluwafemiajeigbe/Downloads/new_file/runba2.txt
16,basicmath,A7,0,1889163294,984698616,42203127,127461,2025724,20992,2.080563599,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
17,basicmath,A7,"0,1",1885663331,947323170,42241048,135007,2019245,19954,2.004849764,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
18,basicmath,A7,"0,1,2",1886108457,881901529,42273709,125963,2010371,17172,2.096850311,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
19,basicmath,A7,"0,1,2,3",1885018842,925734279,42222041,196401,2009879,18615,2.020922225,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
20,basicmath,A15,4,1884218129,1752480690,17563676,130277,2059190,4748,0.999537050,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
21,basicmath,A15,"4,5",1884218429,1596863119,18108938,211565,2026672,3997,0.868279461,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
22,basicmath,A15,"4,5,6",1884218732,1592943549,17895848,148312,2126721,3872,0.865974753,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
23,basicmath,A15,"4,5,6,7",1884219081,1689421578,18395302,2238409,2114623,4049,0.920315673,/Users/oluwafemiajeigbe/Downloads/new_file/runba3.txt
