,name,coretype,corethreads,corenum,instuctions_val,cycles_val,mis_pred,l1d_c,l1i_c,l2d_c,exec_time,filename
0,blackscholes,A7,1,0,2894577168,2359739072,39656807,12441075,4789967,2885637,5.035105528,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
1,blackscholes,A7,2,0,2896227182,2305171127,39789901,10855646,4366498,2870605,4.778620315,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
2,blackscholes,A7,4,0,2898217067,2220882042,39749557,12359501,4674105,2874790,4.861128216,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
3,blackscholes,A7,1,"0,1",2891077410,2297688934,39806238,11053918,4657388,2892991,4.806833685,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
4,blackscholes,A7,2,"0,1",2894339212,2282380710,39842808,12450241,4331769,2882890,2.951135097,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
5,blackscholes,A7,4,"0,1",2897870521,2213015920,39918217,10585972,4672710,2736025,2.903432627,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
6,blackscholes,A7,1,"0,1,2",2897536833,2289443779,39774945,10386265,4331128,2883567,4.882720221,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
7,blackscholes,A7,2,"0,1,2",2897630571,2233233257,39940566,11612226,4746365,2887655,2.942210367,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
8,blackscholes,A7,4,"0,1,2",2894929936,2412594111,39908125,12052134,4345454,2706601,2.547331232,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
9,blackscholes,A7,1,"0,1,2,3",2897630161,2298860729,39896063,12595417,4659001,2887505,4.870868397,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
10,blackscholes,A7,2,"0,1,2,3",2905646483,2036413291,39756067,11419206,4336160,2888157,2.919193318,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
11,blackscholes,A7,4,"0,1,2,3",2897282808,2665086141,39780286,11019107,4727659,2890076,2.218679866,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
12,blackscholes,A15,1,4,2895980742,3625409957,10856506,8879585,1964615,632541,1.869916801,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
13,blackscholes,A15,2,4,2895982995,3521903665,10854451,9118823,1916739,520207,1.799856609,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
14,blackscholes,A15,4,4,2895987406,3571486274,11064811,10071348,2407974,486167,1.836967687,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
15,blackscholes,A15,1,"4,5",2895981048,3640130235,10871262,8793943,1902089,631549,1.878964392,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
16,blackscholes,A15,2,"4,5",2895983240,3611114064,10949581,10980188,2368386,590898,1.146762622,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
17,blackscholes,A15,4,"4,5",2895987773,3570676664,10918849,10472267,2084269,397678,1.126836973,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
18,blackscholes,A15,1,"4,5,6",2895981351,3648483652,10837479,9628468,1893182,505034,1.889677203,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
19,blackscholes,A15,2,"4,5,6",2895983543,3625247586,10857850,10026398,1932890,475531,1.165496923,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
20,blackscholes,A15,4,"4,5,6",2895988137,3575588967,10849974,9984281,1927594,335283,0.974984948,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
21,blackscholes,A15,1,"4,5,6,7",2895981700,3619235028,10872223,9354680,2413448,664584,1.857924374,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
