,name,coretype,corethreads,corenum,instuctions_val,cycles_val,mis_pred,l1d_c,l1i_c,l2d_c,exec_time,filename
0,fluidanimate,A7,1,0,36908275660,18675435172,450095160,90784026,1454940,52112148,47.961307769,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
1,fluidanimate,A7,2,0,37862362301,26522614016,464915122,95974265,1762528,54799275,55.517952340,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
2,fluidanimate,A7,4,0,38927331421,29914683648,473609045,96440288,1439748,57088427,63.100865499,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
3,fluidanimate,A7,1,"0,1",36893418611,23797709704,450731277,90541048,629250,52211849,49.901748104,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
4,fluidanimate,A7,2,"0,1",37805623341,22704026176,464796463,94753823,813511,53929711,26.292450345,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
5,fluidanimate,A7,4,"0,1",38888217303,25559125208,473269383,97565640,1148848,57310223,28.983553768,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
6,fluidanimate,A7,1,"0,1,2",36903797902,26348870170,450423556,91159423,673208,52251274,55.917482209,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
7,fluidanimate,A7,2,"0,1,2",37785268187,23055829720,464757977,96046726,862754,54165695,26.883850264,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
8,fluidanimate,A7,4,"0,1,2",38952922928,24101058049,472894864,97494018,1044012,57863062,21.548209053,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
9,fluidanimate,A7,1,"0,1,2,3",36897705626,24051316645,450109470,92956318,641476,52395152,51.140017535,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
10,fluidanimate,A7,2,"0,1,2,3",37801953040,22440089275,464464482,95840689,960270,53986803,28.329409496,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
11,fluidanimate,A7,4,"0,1,2,3",38704076672,24122840257,472836582,96851057,1021075,57774692,16.444854269,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
12,fluidanimate,A15,1,4,36901083513,37817542969,308542504,117427983,149760,44861452,19.889109647,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
13,fluidanimate,A15,2,4,37850756921,40891779119,343236720,122149510,280780,48693786,21.525487631,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
14,fluidanimate,A15,4,4,38938687564,53313434986,341317737,124118450,389549,52487360,27.883982065,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
15,fluidanimate,A15,1,"4,5",36901083819,36198140639,308231617,120292306,183605,45111788,19.014022122,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
16,fluidanimate,A15,2,"4,5",37814767523,40290235918,341762119,125221754,271954,47069151,11.909055774,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
17,fluidanimate,A15,4,"4,5",38894889278,44617570479,342917383,128118366,326222,50883542,12.498399237,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
18,fluidanimate,A15,1,"4,5,6",36901084069,37228076158,308021324,123130366,140423,45219575,19.576689034,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
19,fluidanimate,A15,2,"4,5,6",37822584214,41071032506,340813326,125845999,246412,47286097,11.867919422,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
20,fluidanimate,A15,4,"4,5,6",38961318822,46409986370,342440537,126567335,377331,51402836,10.154029570,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
21,fluidanimate,A15,1,"4,5,6,7",36901084403,37300158310,307808823,117376658,137993,44710703,19.595267220,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
22,fluidanimate,A15,2,"4,5,6,7",37820933009,41650119797,339343109,125214434,214591,47456478,12.200736955,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
23,fluidanimate,A15,4,"4,5,6,7",38767665314,46344146448,342379894,126923135,264532,51193706,7.827880272,/Users/oluwafemiajeigbe/Downloads/new_file/runfl1.txt
24,fluidanimate,A7,1,0,36905891473,24489795161,450372176,91433369,682876,52254079,52.527406722,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
25,fluidanimate,A7,2,0,37854997130,26400031078,465215938,96184076,973760,55039357,56.321461056,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
26,fluidanimate,A7,4,0,38930738598,27507969509,473568403,96357934,1372928,57121956,58.062392024,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
27,fluidanimate,A7,1,"0,1",36904824981,24174318773,450176139,91311255,608234,52245993,51.537812051,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
28,fluidanimate,A7,2,"0,1",37803521051,23750476571,464844927,94838687,745245,53759106,27.670128459,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
29,fluidanimate,A7,4,"0,1",38898829472,25146903899,472821724,98058393,1023493,57187491,27.774215270,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
30,fluidanimate,A7,1,"0,1,2",36898221165,23996381175,450642711,92038693,465547,52165722,50.061783587,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
31,fluidanimate,A7,2,"0,1,2",37798441052,24017632752,464661484,95701708,877025,53786722,27.769368875,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
32,fluidanimate,A7,4,"0,1,2",38946914226,26283101340,473120514,97024528,987321,57431700,23.119546962,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
33,fluidanimate,A7,1,"0,1,2,3",36907013728,23518373255,450494843,92618779,450515,52361216,49.695372845,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
34,fluidanimate,A7,2,"0,1,2,3",37786767590,24265253357,464645725,95731837,862726,54005868,28.155311567,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
35,fluidanimate,A7,4,"0,1,2,3",38725347887,24872529625,472656599,96818643,996268,58052797,15.846307865,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
36,fluidanimate,A15,1,4,36901083525,36737308143,308424847,116685549,150475,44928690,19.349360327,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
37,fluidanimate,A15,2,4,37851830402,42337756115,341325511,127132349,286101,49574177,22.182667574,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
38,fluidanimate,A15,4,4,38942824030,49979599349,342258601,123772071,393086,52189118,26.214694683,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
39,fluidanimate,A15,1,"4,5",36901083825,37409002902,308243603,118352159,147709,44952351,19.890047461,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
40,fluidanimate,A15,2,"4,5",37819984853,40929677973,341560049,123977518,308000,47283886,11.836285460,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
41,fluidanimate,A15,4,"4,5",38914818352,44464800380,342689608,127822210,345911,51148051,12.605983078,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
42,fluidanimate,A15,1,"4,5,6",36901084069,37085336131,308149325,122993176,142541,45410977,19.472182781,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
43,fluidanimate,A15,2,"4,5,6",37819033089,40864863746,341545241,123978395,272451,47423993,11.864229284,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
44,fluidanimate,A15,4,"4,5,6",38964469284,45124616301,342893837,126573124,318235,51310877,9.945317770,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
45,fluidanimate,A15,1,"4,5,6,7",36901084403,37679826519,307916152,120034501,180790,45087605,19.812949316,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
46,fluidanimate,A15,2,"4,5,6,7",37823815728,40081641045,341377969,124170936,246937,47325485,11.615338368,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
47,fluidanimate,A15,4,"4,5,6,7",38760813872,46509155787,343156428,125169222,368705,51068428,7.923479230,/Users/oluwafemiajeigbe/Downloads/new_file/runfl2.txt
48,fluidanimate,A7,1,0,36890039350,23330273926,449984752,91150722,705561,52310031,50.982761203,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
49,fluidanimate,A7,2,0,37840240704,26201826711,464931810,94721544,1024806,54616837,54.845075797,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
50,fluidanimate,A7,4,0,38970433758,26315199597,473302702,97529932,1013243,57296941,60.198201641,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
51,fluidanimate,A7,1,"0,1",36898833733,23385077916,450195502,91899657,480518,52173096,50.614693821,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
52,fluidanimate,A7,2,"0,1",37807556068,23844274144,464853043,94770028,973491,54092527,27.950432388,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
53,fluidanimate,A7,4,"0,1",38883114009,26288962916,473032507,97295349,1017191,57152997,29.657818288,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
54,fluidanimate,A7,1,"0,1,2",36899363598,20537753749,450318058,91895352,591095,52445212,48.873777535,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
55,fluidanimate,A7,2,"0,1,2",37762701465,22920246645,464446377,95148952,829955,54240752,26.447322620,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
56,fluidanimate,A7,4,"0,1,2",38936873005,25054037801,473054945,96166784,1081269,57428766,21.883243010,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
57,fluidanimate,A7,1,"0,1,2,3",36898079540,25317482947,450296731,92150371,664057,52342782,55.552469646,/Users/oluwafemiajeigbe/Downloads/new_file/runfl3.txt
