,name,coretype,corenum,instuctions_val,cycles_val,mis_pred,l1d_c,l1i_c,l2d_c,exec_time,filename
0,Qsort,A7,0,305191584,177863489,4440250,480124,63191,170844,0.490158166,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
1,Qsort,A7,"0,1",303870903,162029027,4415390,484018,61581,166653,0.359199708,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
2,Qsort,A7,"0,1,2",306160796,142031365,4352643,462654,60647,170323,0.321849667,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
3,Qsort,A7,"0,1,2,3",305209384,197540683,4403753,451739,60447,162558,0.421427376,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
4,Qsort,A15,4,302512318,263018057,1251368,352282,37474,77881,0.148206126,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
5,Qsort,A15,"4,5",302512618,295604400,1250371,350201,37220,77564,0.169782542,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
6,Qsort,A15,"4,5,6",302512927,278632407,1251537,364752,37004,76594,0.159204251,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
7,Qsort,A15,"4,5,6,7",302513270,262269872,1250699,332795,37246,75655,0.147300835,/Users/oluwafemiajeigbe/Downloads/new_file/runqs1.txt
8,Qsort,A7,0,301391296,150775938,4386411,460941,78880,169974,0.320828879,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
9,Qsort,A7,"0,1",301034791,149541006,4381446,461788,60472,166119,0.319782921,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
10,Qsort,A7,"0,1,2",301320808,149853446,4384586,455261,59953,165851,0.319123255,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
11,Qsort,A7,"0,1,2,3",301841803,147551491,4401728,480868,61073,160221,0.337939922,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
12,Qsort,A15,4,302512312,273216662,1253219,332612,36690,77816,0.155222002,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
13,Qsort,A15,"4,5",302512618,262515403,1249992,341112,36826,78107,0.147736045,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
14,Qsort,A15,"4,5,6",302512921,262374697,1248609,353980,37612,75071,0.147556586,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
15,Qsort,A15,"4,5,6,7",302513270,295169397,1250003,356687,37213,74819,0.169628296,/Users/oluwafemiajeigbe/Downloads/new_file/runqs2.txt
16,Qsort,A7,0,303023632,169508992,4442969,485532,61537,154415,0.398801384,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
17,Qsort,A7,"0,1",299788059,208781976,4337703,467505,61923,162837,0.437106594,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
18,Qsort,A7,"0,1,2",299190190,175318113,4354072,447758,63607,166280,0.376365968,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
19,Qsort,A7,"0,1,2,3",305105924,219745449,4413494,464651,63975,165276,0.468572096,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
20,Qsort,A15,4,302512312,294371746,1252354,354279,37046,79513,0.171064339,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
21,Qsort,A15,"4,5",302512618,263331467,1250321,346317,36721,77664,0.148148046,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
22,Qsort,A15,"4,5,6",302512921,263297135,1251279,339748,36904,77627,0.148078671,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
23,Qsort,A15,"4,5,6,7",302513270,263119960,1251422,374405,37280,78555,0.147965672,/Users/oluwafemiajeigbe/Downloads/new_file/runqs3.txt
